acid,acnm,acsn
2447,NHEERL_MEA_acute_spike_number,NHEERL_MEA_acute_spike_number
2448,NHEERL_MEA_acute_firing_rate_mean,NHEERL_MEA_acute_firing_rate_mean
2449,NHEERL_MEA_acute_burst_number,NHEERL_MEA_acute_burst_number
2450,NHEERL_MEA_acute_burst_duration_mean,NHEERL_MEA_acute_burst_duration_mean
2451,NHEERL_MEA_acute_per_burst_spike_number_mean,NHEERL_MEA_acute_per_burst_spike_number_mean
2452,NHEERL_MEA_acute_interburst_interval_mean,NHEERL_MEA_acute_interburst_interval_mean
2453,NHEERL_MEA_acute_burst_percentage_mean,NHEERL_MEA_acute_burst_percentage_mean
2454,NHEERL_MEA_acute_burst_percentage_std,NHEERL_MEA_acute_burst_percentage_std
2455,NHEERL_MEA_acute_per_network_burst_spike_number_mean,NHEERL_MEA_acute_per_network_burst_spike_number_mean
2456,NHEERL_MEA_acute_per_network_burst_spike_number_std,NHEERL_MEA_acute_per_network_burst_spike_number_std
2457,NHEERL_MEA_acute_bursting_electrodes_number_mean,NHEERL_MEA_acute_bursting_electrodes_number_mean
2458,NHEERL_MEA_acute_network_burst_percentage,NHEERL_MEA_acute_network_burst_percentage
2459,NHEERL_MEA_acute_cross_correlation_area,NHEERL_MEA_acute_cross_correlation_area
2460,NHEERL_MEA_acute_cross_correlation_HWHM,NHEERL_MEA_acute_cross_correlation_HWHM
2461,NHEERL_MEA_acute_synchrony_index,NHEERL_MEA_acute_synchrony_index
2495,NHEERL_MEA_acute_LDH,NHEERL_MEA_acute_LDH
2496,NHEERL_MEA_acute_AB,NHEERL_MEA_acute_AB
