file_acsn_using,tcpl_acsn
Number of Spikes,NHEERL_MEA_acute_spike_number
Mean Firing Rate (Hz),NHEERL_MEA_acute_firing_rate_mean
Number of Bursts,NHEERL_MEA_acute_burst_number
Burst Duration - Avg (s),NHEERL_MEA_acute_burst_duration_mean
Number of Spikes per Burst - Avg,NHEERL_MEA_acute_per_burst_spike_number_mean
Mean ISI within Burst - Avg,NHEERL_MEA_acute_interburst_interval_mean
Burst Percentage - Avg,NHEERL_MEA_acute_burst_percentage_mean
Burst Percentage - Std,NHEERL_MEA_acute_burst_percentage_std
Number of Spikes per Network Burst - Avg,NHEERL_MEA_acute_per_network_burst_spike_number_mean
Number of Spikes per Network Burst - Std,NHEERL_MEA_acute_per_network_burst_spike_number_std
Number of Elecs Participating in Burst - Avg,NHEERL_MEA_acute_bursting_electrodes_number_mean
Network Burst Percentage,NHEERL_MEA_acute_network_burst_percentage
Area Under Cross-Correlation,NHEERL_MEA_acute_cross_correlation_area
Synchrony Index,NHEERL_MEA_acute_synchrony_index
Half Width at Half Height of Cross-Correlation,NHEERL_MEA_acute_cross_correlation_HWHM
Width at Half Height of Cross-Correlation,NHEERL_MEA_acute_cross_correlation_HWHM
