"asid","acid","acnm","aeid","aenm","can_be_released","notes"
20,1918,"CCTE_Shafer_MEA_AB",2036,"CCTE_Shafer_MEA_AB",1,"release sc only; can delete mc data"
20,1917,"CCTE_Shafer_MEA_LDH",2035,"CCTE_Shafer_MEA_LDH",1,"release sc only; can delete mc data"
20,1916,"CCTE_Shafer_MEA_MFR",2033,"CCTE_Shafer_MEA_MFR_up",1,"release sc only; can delete mc data"
20,1916,"CCTE_Shafer_MEA_MFR",2034,"CCTE_Shafer_MEA_MFR_dn",1,"release sc only; can delete mc data"
20,2496,"CCTE_Shafer_MEA_acute_AB",2541,"CCTE_Shafer_MEA_acute_AB_up",1,""
20,2495,"CCTE_Shafer_MEA_acute_LDH",2540,"CCTE_Shafer_MEA_acute_LDH_up",1,""
20,2775,"CCTE_Shafer_MEA_acute_active_electrodes_number",2961,"CCTE_Shafer_MEA_acute_active_electrodes_number_up",0,"delete this endpoints"
20,2775,"CCTE_Shafer_MEA_acute_active_electrodes_number",2962,"CCTE_Shafer_MEA_acute_active_electrodes_number_dn",0,""
20,2776,"CCTE_Shafer_MEA_acute_burst_duration_IQR_mean",2963,"CCTE_Shafer_MEA_acute_burst_duration_IQR_mean_up",0,""
20,2776,"CCTE_Shafer_MEA_acute_burst_duration_IQR_mean",2964,"CCTE_Shafer_MEA_acute_burst_duration_IQR_mean_dn",0,""
20,2777,"CCTE_Shafer_MEA_acute_burst_duration_IQR_std",2965,"CCTE_Shafer_MEA_acute_burst_duration_IQR_std_up",0,""
20,2777,"CCTE_Shafer_MEA_acute_burst_duration_IQR_std",2966,"CCTE_Shafer_MEA_acute_burst_duration_IQR_std_dn",0,""
20,2450,"CCTE_Shafer_MEA_acute_burst_duration_mean",2460,"CCTE_Shafer_MEA_acute_burst_duration_mean_dn",1,""
20,2450,"CCTE_Shafer_MEA_acute_burst_duration_mean",2461,"CCTE_Shafer_MEA_acute_burst_duration_mean_up",1,""
20,2778,"CCTE_Shafer_MEA_acute_burst_duration_std",2967,"CCTE_Shafer_MEA_acute_burst_duration_std_up",0,""
20,2778,"CCTE_Shafer_MEA_acute_burst_duration_std",2968,"CCTE_Shafer_MEA_acute_burst_duration_std_dn",0,""
20,2779,"CCTE_Shafer_MEA_acute_burst_frequency_mean",2969,"CCTE_Shafer_MEA_acute_burst_frequency_mean_up",0,""
20,2779,"CCTE_Shafer_MEA_acute_burst_frequency_mean",2970,"CCTE_Shafer_MEA_acute_burst_frequency_mean_dn",0,""
20,2780,"CCTE_Shafer_MEA_acute_burst_frequency_std",2971,"CCTE_Shafer_MEA_acute_burst_frequency_std_up",0,""
20,2780,"CCTE_Shafer_MEA_acute_burst_frequency_std",2972,"CCTE_Shafer_MEA_acute_burst_frequency_std_dn",0,""
20,2449,"CCTE_Shafer_MEA_acute_burst_number",2458,"CCTE_Shafer_MEA_acute_burst_number_dn",1,""
20,2449,"CCTE_Shafer_MEA_acute_burst_number",2459,"CCTE_Shafer_MEA_acute_burst_number_up",1,""
20,2453,"CCTE_Shafer_MEA_acute_burst_percentage_mean",2466,"CCTE_Shafer_MEA_acute_burst_percentage_mean_dn",1,""
20,2453,"CCTE_Shafer_MEA_acute_burst_percentage_mean",2467,"CCTE_Shafer_MEA_acute_burst_percentage_mean_up",1,""
20,2454,"CCTE_Shafer_MEA_acute_burst_percentage_std",2468,"CCTE_Shafer_MEA_acute_burst_percentage_std_dn",1,""
20,2454,"CCTE_Shafer_MEA_acute_burst_percentage_std",2469,"CCTE_Shafer_MEA_acute_burst_percentage_std_up",1,""
20,2781,"CCTE_Shafer_MEA_acute_bursting_electrodes_number",2973,"CCTE_Shafer_MEA_acute_bursting_electrodes_number_up",0,"delete this endpoints"
20,2781,"CCTE_Shafer_MEA_acute_bursting_electrodes_number",2974,"CCTE_Shafer_MEA_acute_bursting_electrodes_number_dn",0,""
20,2460,"CCTE_Shafer_MEA_acute_cross_correlation_HWHM",2480,"CCTE_Shafer_MEA_acute_cross_correlation_HWHM_dn",1,""
20,2460,"CCTE_Shafer_MEA_acute_cross_correlation_HWHM",2480,"CCTE_Shafer_MEA_acute_cross_correlation_HWHM_dn",0,""
20,2460,"CCTE_Shafer_MEA_acute_cross_correlation_HWHM",2481,"CCTE_Shafer_MEA_acute_cross_correlation_HWHM_up",1,""
20,2460,"CCTE_Shafer_MEA_acute_cross_correlation_HWHM",2481,"CCTE_Shafer_MEA_acute_cross_correlation_HWHM_up",0,""
20,2783,"CCTE_Shafer_MEA_acute_cross_correlation_HWHM_normalized",2977,"CCTE_Shafer_MEA_acute_cross_correlation_HWHM_normalized_up",0,""
20,2783,"CCTE_Shafer_MEA_acute_cross_correlation_HWHM_normalized",2978,"CCTE_Shafer_MEA_acute_cross_correlation_HWHM_normalized_dn",0,""
20,2459,"CCTE_Shafer_MEA_acute_cross_correlation_area",2478,"CCTE_Shafer_MEA_acute_cross_correlation_area_dn",1,""
20,2459,"CCTE_Shafer_MEA_acute_cross_correlation_area",2479,"CCTE_Shafer_MEA_acute_cross_correlation_area_up",1,""
20,2782,"CCTE_Shafer_MEA_acute_cross_correlation_area_normalized",2975,"CCTE_Shafer_MEA_acute_cross_correlation_area_normalized_up",0,""
20,2782,"CCTE_Shafer_MEA_acute_cross_correlation_area_normalized",2976,"CCTE_Shafer_MEA_acute_cross_correlation_area_normalized_dn",0,""
20,2448,"CCTE_Shafer_MEA_acute_firing_rate_mean",2456,"CCTE_Shafer_MEA_acute_firing_rate_mean_dn",1,""
20,2448,"CCTE_Shafer_MEA_acute_firing_rate_mean",2457,"CCTE_Shafer_MEA_acute_firing_rate_mean_up",1,""
20,2784,"CCTE_Shafer_MEA_acute_firing_rate_mean_weighted",2979,"CCTE_Shafer_MEA_acute_firing_rate_mean_weighted_up",0,""
20,2784,"CCTE_Shafer_MEA_acute_firing_rate_mean_weighted",2980,"CCTE_Shafer_MEA_acute_firing_rate_mean_weighted_dn",0,""
20,2788,"CCTE_Shafer_MEA_acute_inter-network_burst_interval_CV",2981,"CCTE_Shafer_MEA_acute_inter-network_burst_interval_CV_up",0,""
20,2788,"CCTE_Shafer_MEA_acute_inter-network_burst_interval_CV",2982,"CCTE_Shafer_MEA_acute_inter-network_burst_interval_CV_dn",0,""
20,2785,"CCTE_Shafer_MEA_acute_interburst_interval_CV_mean",2983,"CCTE_Shafer_MEA_acute_interburst_interval_CV_mean_up",0,""
20,2785,"CCTE_Shafer_MEA_acute_interburst_interval_CV_mean",2984,"CCTE_Shafer_MEA_acute_interburst_interval_CV_mean_dn",0,""
20,2786,"CCTE_Shafer_MEA_acute_interburst_interval_CV_std",2985,"CCTE_Shafer_MEA_acute_interburst_interval_CV_std_up",0,""
20,2786,"CCTE_Shafer_MEA_acute_interburst_interval_CV_std",2986,"CCTE_Shafer_MEA_acute_interburst_interval_CV_std_dn",0,""
20,2452,"CCTE_Shafer_MEA_acute_interburst_interval_mean",2464,"CCTE_Shafer_MEA_acute_interburst_interval_mean_dn",1,""
20,2452,"CCTE_Shafer_MEA_acute_interburst_interval_mean",2465,"CCTE_Shafer_MEA_acute_interburst_interval_mean_up",1,""
20,2787,"CCTE_Shafer_MEA_acute_interburst_interval_std",2987,"CCTE_Shafer_MEA_acute_interburst_interval_std_up",0,""
20,2787,"CCTE_Shafer_MEA_acute_interburst_interval_std",2988,"CCTE_Shafer_MEA_acute_interburst_interval_std_dn",0,""
20,2789,"CCTE_Shafer_MEA_acute_interspike_interval_CV",2989,"CCTE_Shafer_MEA_acute_interspike_interval_CV_up",0,""
20,2789,"CCTE_Shafer_MEA_acute_interspike_interval_CV",2990,"CCTE_Shafer_MEA_acute_interspike_interval_CV_dn",0,""
20,2790,"CCTE_Shafer_MEA_acute_mean_interspike_interval_within_burst_mean",2991,"CCTE_Shafer_MEA_acute_mean_interspike_interval_within_burst_mean_up",0,""
20,2790,"CCTE_Shafer_MEA_acute_mean_interspike_interval_within_burst_mean",2992,"CCTE_Shafer_MEA_acute_mean_interspike_interval_within_burst_mean_dn",0,""
20,2791,"CCTE_Shafer_MEA_acute_mean_interspike_interval_within_burst_std",2993,"CCTE_Shafer_MEA_acute_mean_interspike_interval_within_burst_std_up",0,""
20,2791,"CCTE_Shafer_MEA_acute_mean_interspike_interval_within_burst_std",2994,"CCTE_Shafer_MEA_acute_mean_interspike_interval_within_burst_std_dn",0,""
20,2792,"CCTE_Shafer_MEA_acute_median_interspike_interval_within_burst_mean",2995,"CCTE_Shafer_MEA_acute_median_interspike_interval_within_burst_mean_up",0,""
20,2792,"CCTE_Shafer_MEA_acute_median_interspike_interval_within_burst_mean",2996,"CCTE_Shafer_MEA_acute_median_interspike_interval_within_burst_mean_dn",0,""
20,2793,"CCTE_Shafer_MEA_acute_median_interspike_interval_within_burst_std",2997,"CCTE_Shafer_MEA_acute_median_interspike_interval_within_burst_std_up",0,""
20,2793,"CCTE_Shafer_MEA_acute_median_interspike_interval_within_burst_std",2998,"CCTE_Shafer_MEA_acute_median_interspike_interval_within_burst_std_dn",0,""
20,2794,"CCTE_Shafer_MEA_acute_network_burst_duration_IQR",2999,"CCTE_Shafer_MEA_acute_network_burst_duration_IQR_up",0,""
20,2794,"CCTE_Shafer_MEA_acute_network_burst_duration_IQR",3000,"CCTE_Shafer_MEA_acute_network_burst_duration_IQR_dn",0,""
20,2795,"CCTE_Shafer_MEA_acute_network_burst_duration_mean",3001,"CCTE_Shafer_MEA_acute_network_burst_duration_mean_up",0,""
20,2795,"CCTE_Shafer_MEA_acute_network_burst_duration_mean",3002,"CCTE_Shafer_MEA_acute_network_burst_duration_mean_dn",0,""
20,2796,"CCTE_Shafer_MEA_acute_network_burst_duration_std",3003,"CCTE_Shafer_MEA_acute_network_burst_duration_std_up",0,""
20,2796,"CCTE_Shafer_MEA_acute_network_burst_duration_std",3004,"CCTE_Shafer_MEA_acute_network_burst_duration_std_dn",0,""
20,2797,"CCTE_Shafer_MEA_acute_network_burst_frequency",3005,"CCTE_Shafer_MEA_acute_network_burst_frequency_up",0,""
20,2797,"CCTE_Shafer_MEA_acute_network_burst_frequency",3006,"CCTE_Shafer_MEA_acute_network_burst_frequency_dn",0,""
20,2798,"CCTE_Shafer_MEA_acute_network_burst_number",3007,"CCTE_Shafer_MEA_acute_network_burst_number_up",0,""
20,2798,"CCTE_Shafer_MEA_acute_network_burst_number",3008,"CCTE_Shafer_MEA_acute_network_burst_number_dn",0,""
20,2458,"CCTE_Shafer_MEA_acute_network_burst_percentage",2476,"CCTE_Shafer_MEA_acute_network_burst_percentage_dn",1,""
20,2458,"CCTE_Shafer_MEA_acute_network_burst_percentage",2477,"CCTE_Shafer_MEA_acute_network_burst_percentage_up",1,""
20,2451,"CCTE_Shafer_MEA_acute_per_burst_spike_number_mean",2462,"CCTE_Shafer_MEA_acute_per_burst_spike_number_mean_dn",1,""
20,2451,"CCTE_Shafer_MEA_acute_per_burst_spike_number_mean",2463,"CCTE_Shafer_MEA_acute_per_burst_spike_number_mean_up",1,""
20,2799,"CCTE_Shafer_MEA_acute_per_burst_spike_number_std",3009,"CCTE_Shafer_MEA_acute_per_burst_spike_number_std_up",0,""
20,2799,"CCTE_Shafer_MEA_acute_per_burst_spike_number_std",3010,"CCTE_Shafer_MEA_acute_per_burst_spike_number_std_dn",0,""
20,2457,"CCTE_Shafer_MEA_acute_per_network_burst_electrodes_number_mean",2474,"CCTE_Shafer_MEA_acute_per_network_burst_electrodes_number_mean_dn",1,""
20,2457,"CCTE_Shafer_MEA_acute_per_network_burst_electrodes_number_mean",2475,"CCTE_Shafer_MEA_acute_per_network_burst_electrodes_number_mean_up",1,""
20,2800,"CCTE_Shafer_MEA_acute_per_network_burst_electrodes_number_std",3011,"CCTE_Shafer_MEA_acute_per_network_burst_electrodes_number_std_up",0,""
20,2800,"CCTE_Shafer_MEA_acute_per_network_burst_electrodes_number_std",3012,"CCTE_Shafer_MEA_acute_per_network_burst_electrodes_number_std_dn",0,""
20,2801,"CCTE_Shafer_MEA_acute_per_network_burst_mean_spikes_per_electrode_mean",3013,"CCTE_Shafer_MEA_acute_per_network_burst_mean_spikes_per_electrode_mean_up",0,""
20,2801,"CCTE_Shafer_MEA_acute_per_network_burst_mean_spikes_per_electrode_mean",3014,"CCTE_Shafer_MEA_acute_per_network_burst_mean_spikes_per_electrode_mean_dn",0,""
20,2802,"CCTE_Shafer_MEA_acute_per_network_burst_mean_spikes_per_electrode_std",3015,"CCTE_Shafer_MEA_acute_per_network_burst_mean_spikes_per_electrode_std_up",0,""
20,2802,"CCTE_Shafer_MEA_acute_per_network_burst_mean_spikes_per_electrode_std",3016,"CCTE_Shafer_MEA_acute_per_network_burst_mean_spikes_per_electrode_std_dn",0,""
20,2455,"CCTE_Shafer_MEA_acute_per_network_burst_spike_number_mean",2470,"CCTE_Shafer_MEA_acute_per_network_burst_spike_number_mean_dn",1,""
20,2455,"CCTE_Shafer_MEA_acute_per_network_burst_spike_number_mean",2471,"CCTE_Shafer_MEA_acute_per_network_burst_spike_number_mean_up",1,""
20,2456,"CCTE_Shafer_MEA_acute_per_network_burst_spike_number_std",2472,"CCTE_Shafer_MEA_acute_per_network_burst_spike_number_std_dn",1,""
20,2456,"CCTE_Shafer_MEA_acute_per_network_burst_spike_number_std",2473,"CCTE_Shafer_MEA_acute_per_network_burst_spike_number_std_up",1,""
20,2447,"CCTE_Shafer_MEA_acute_spike_number",2454,"CCTE_Shafer_MEA_acute_spike_number_dn",1,""
20,2447,"CCTE_Shafer_MEA_acute_spike_number",2455,"CCTE_Shafer_MEA_acute_spike_number_up",1,""
20,2461,"CCTE_Shafer_MEA_acute_synchrony_index",2482,"CCTE_Shafer_MEA_acute_synchrony_index_dn",1,""
20,2461,"CCTE_Shafer_MEA_acute_synchrony_index",2483,"CCTE_Shafer_MEA_acute_synchrony_index_up",1,""
